,antelope_duiker,bird,blank,civet_genet,hog,leopard,monkey_prosimian,rodent
ZJ016531,0.036071084,0.008320671,0.15408318,0.26475748,0.060408037,0.35034347,0.0046560485,0.12136005
ZJ016532,0.030991334,0.020346392,0.12240821,0.030564122,0.05563577,0.70407486,0.023198374,0.012780946
ZJ016533,0.17743407,0.12301838,0.11333028,0.00079427566,0.006962303,0.0032312877,0.54754376,0.027685594
ZJ016534,0.1830235,0.012502922,0.27225688,0.14580107,0.03574375,0.0272161,0.017755607,0.30570015
ZJ016535,0.27548873,0.06432598,0.22411592,0.014752882,0.014591859,0.005515352,0.3518031,0.049406163
ZJ016536,0.24706902,0.23565494,0.14991622,0.004265251,0.024665497,0.01320552,0.24814966,0.077073894
ZJ016537,0.22121061,0.060457487,0.36452448,0.033923905,0.053967945,0.060367133,0.13327871,0.07226971
ZJ016538,0.12666972,0.3014121,0.18713592,0.007624595,0.047038466,0.06380648,0.22903065,0.037282076
ZJ016539,0.25219145,0.13135132,0.27911794,0.023934748,0.043806247,0.027177874,0.20278934,0.039631143
ZJ016540,0.22837058,0.3377595,0.08559387,0.0033520071,0.01294543,0.0032732056,0.2614026,0.06730287
ZJ016541,0.09355422,0.022096733,0.4011743,0.0067334496,0.12349202,0.25336513,0.07048777,0.02909632
ZJ016542,0.19582842,0.01733487,0.2855453,0.17601275,0.07757989,0.035080004,0.017743273,0.19487542
ZJ016543,0.45175418,0.059162006,0.19360511,0.042204186,0.12131782,0.030076459,0.07217877,0.029701525
ZJ016544,0.6106646,0.14141706,0.052413195,0.0023442195,0.031455304,0.002211089,0.13157438,0.027920088
ZJ016545,0.31847656,0.07040031,0.3239063,0.0051387576,0.057868175,0.027237825,0.16836025,0.028611822
ZJ016546,0.013281249,0.0028076533,0.12038547,0.04889339,0.09321812,0.70177317,0.0019822624,0.017658675
ZJ016547,0.05001598,0.007043705,0.28047112,0.2831161,0.048917476,0.24569434,0.005990082,0.07875118
ZJ016548,0.44679227,0.067689,0.24237701,0.023383263,0.03132054,0.009054857,0.059775054,0.11960806
ZJ016549,0.16223776,0.117026515,0.26131684,0.003045499,0.0140044745,0.012663296,0.39994556,0.029760031
ZJ016550,0.24931954,0.19906472,0.08331246,0.0021789407,0.024083462,0.006317258,0.41381535,0.021908268
ZJ016551,0.40562218,0.20455039,0.04980721,0.00092667504,0.042678144,0.0045261774,0.27757993,0.014309321
ZJ016552,0.14080925,0.031075757,0.43939963,0.008297273,0.052831795,0.09952343,0.20160234,0.02646053
ZJ016553,0.12410838,0.053247456,0.33725718,0.0038406882,0.011345862,0.029865498,0.4237779,0.016557101
ZJ016554,0.28985804,0.25697035,0.1136589,0.0045750695,0.056474127,0.013869563,0.23449087,0.03010303
ZJ016555,0.28432652,0.12571752,0.21143378,0.028796354,0.031665236,0.021277472,0.16025138,0.13653179
ZJ016556,0.36427185,0.23366341,0.09244885,0.002975531,0.0741423,0.012067479,0.19805165,0.022378843
ZJ016557,0.21841587,0.11096429,0.2555643,0.012705428,0.05100886,0.029545637,0.2221307,0.09966496
ZJ016558,0.0067104464,0.005379953,0.04364919,0.008216163,0.076032475,0.8532727,0.0018036023,0.0049354397
ZJ016559,0.28328738,0.16672634,0.1934302,0.012880156,0.04850346,0.031757027,0.18380333,0.079612106
ZJ016560,0.20402995,0.1944513,0.21234281,0.007620527,0.068941064,0.039310373,0.23307474,0.040229276
ZJ016561,0.5365538,0.08349886,0.058100216,0.0019189557,0.04381293,0.0051361974,0.2482226,0.022756377
ZJ016562,0.18902582,0.16370548,0.18060666,0.0022042878,0.015499935,0.011443522,0.41304237,0.024471972
ZJ016563,0.2837335,0.10774833,0.26613402,0.0012156287,0.020531438,0.007173116,0.27787492,0.035589017
ZJ016564,0.29913253,0.26357627,0.07134207,0.0020858995,0.026464785,0.0054659396,0.30761665,0.024315804
ZJ016565,0.0027730085,0.005575388,0.022407833,0.0026551776,0.021639485,0.9393196,0.0020254822,0.0036040521
ZJ016566,0.17674237,0.11527545,0.18495417,0.0035749984,0.018690147,0.011385553,0.46105048,0.028326863
ZJ016567,0.2191807,0.02467312,0.2160013,0.16007753,0.0743398,0.032000706,0.025117159,0.24860966
ZJ016568,0.0002620031,0.00036956416,0.0052983076,0.00029883083,0.0075535807,0.9858043,0.00018472604,0.00022872552
ZJ016569,0.18906821,0.06264571,0.31534958,0.007101475,0.039402816,0.046529427,0.29220837,0.047694396
ZJ016570,0.60157263,0.16349696,0.059858307,0.009564426,0.05395635,0.005040728,0.07400002,0.032510597
ZJ016571,0.05940785,0.010187704,0.27924916,0.10256608,0.08031849,0.36993697,0.011407354,0.08692647
ZJ016572,0.25110537,0.13682695,0.12011666,0.0018630215,0.028671771,0.011525015,0.43284836,0.017042918
ZJ016573,0.12932652,0.042457808,0.4444881,0.077429906,0.07053461,0.1297898,0.028687963,0.077285305
ZJ016574,0.11616881,0.023438197,0.21348175,0.09351896,0.108666524,0.07417831,0.013016006,0.3575315
ZJ016575,0.036215387,0.008046344,0.19572668,0.023321148,0.17703973,0.52290326,0.0052034007,0.031544026
ZJ016576,0.34358838,0.041271135,0.11028527,0.02474008,0.012673142,0.002386682,0.046302248,0.41875312
ZJ016577,0.30027932,0.1561261,0.16031079,0.009418398,0.030680137,0.009544706,0.29446346,0.039177075
ZJ016578,0.1825494,0.14037338,0.23204918,0.013755074,0.04081221,0.03368047,0.28195035,0.07483002
ZJ016579,0.34390488,0.2232542,0.0585704,0.0010651116,0.031445555,0.005505769,0.32158196,0.014672063
ZJ016580,0.21703587,0.21760504,0.115843594,0.0036013594,0.012727502,0.0063781734,0.37834433,0.04846412
ZJ016581,0.2303139,0.4402262,0.062002156,0.0034106204,0.019209782,0.004774774,0.15676071,0.08330187
ZJ016582,0.011286447,0.01199436,0.046378296,0.011448128,0.030735811,0.8744002,0.009978628,0.00377814
ZJ016583,0.2962226,0.11691362,0.21443194,0.01500614,0.03575098,0.019315563,0.24533418,0.057025056
ZJ016584,0.21713863,0.04073491,0.25715104,0.21525241,0.036960218,0.037823167,0.03391662,0.16102293
ZJ016585,0.0005077955,0.0010090359,0.009087938,0.0014650606,0.0074094185,0.97939956,0.00036722174,0.0007541033
ZJ016586,0.32045427,0.13882162,0.2058775,0.012714365,0.034672927,0.012392069,0.22990999,0.04515715
ZJ016587,0.050035592,0.03253674,0.6749618,0.0034865404,0.04244368,0.123031355,0.04079401,0.032710332
ZJ016588,0.22578917,0.027145218,0.2565515,0.18522573,0.12643525,0.117605045,0.029872766,0.031375386
ZJ016589,0.05923084,0.10704197,0.2687861,0.0072342707,0.09294276,0.33076808,0.11245167,0.021544343
ZJ016590,0.2780573,0.12688594,0.2153044,0.016242273,0.04536372,0.020334523,0.17508978,0.12272204
ZJ016591,0.22518161,0.10195542,0.21633384,0.0027775494,0.038607117,0.020211887,0.35898736,0.035945173
ZJ016592,0.40656617,0.18653448,0.05166217,0.0020238843,0.016499301,0.002340902,0.30836728,0.026005851
ZJ016593,0.34475306,0.101669036,0.22702865,0.05874331,0.053244356,0.022854459,0.055071224,0.13663588
ZJ016594,0.56013787,0.12251195,0.051820774,0.003159714,0.0354937,0.0027727035,0.20284002,0.021263171
ZJ016595,0.09499842,0.033830542,0.37824512,0.0048460895,0.049541403,0.1932022,0.22894445,0.016391806
ZJ016596,0.12754154,0.28317842,0.15450431,0.0014426267,0.021139326,0.034715272,0.35557252,0.021905962
ZJ016597,0.13531643,0.19554813,0.2739455,0.0047958307,0.03649904,0.06972419,0.24742912,0.036741734
ZJ016598,0.016980773,0.01726959,0.054636806,0.016389918,0.046869177,0.82919735,0.01365131,0.005005115
ZJ016599,0.286369,0.20115383,0.23380736,0.039142273,0.043284956,0.029859725,0.10794989,0.05843299
ZJ016600,0.52938724,0.14838764,0.04257482,0.0015025231,0.03748747,0.0016955858,0.22535801,0.013606674
ZJ016601,0.45420077,0.19821481,0.116110995,0.0070906393,0.044430472,0.006696095,0.10613764,0.067118526
ZJ016602,0.34921813,0.12958205,0.063412346,0.0011725787,0.00845238,0.0018563075,0.432015,0.014291255
ZJ016603,0.50147444,0.1498204,0.056112587,0.008389151,0.04716539,0.0034665,0.2045438,0.029027736
ZJ016604,0.16314645,0.030613927,0.14374259,0.3412771,0.032721467,0.011994802,0.02187379,0.25462988
ZJ016605,0.21050712,0.102653936,0.3155461,0.0069715707,0.04498728,0.03883849,0.20213443,0.07836102
ZJ016606,0.41141546,0.11465315,0.21871306,0.004547743,0.02059091,0.004587531,0.144568,0.0809242
ZJ016607,0.04801667,0.009773209,0.20525563,0.12306606,0.114077404,0.43621546,0.01121107,0.052384507
ZJ016608,0.16822018,0.008625909,0.24144721,0.22542855,0.07953077,0.030384589,0.007531954,0.2388309
ZJ016609,0.13813771,0.14145452,0.24640854,0.012245305,0.07081324,0.118480444,0.2141283,0.058331985
ZJ016610,0.25529614,0.12147934,0.22909093,0.010564768,0.050569914,0.023781491,0.15395579,0.15526167
ZJ016611,0.18339883,0.09435416,0.30318406,0.008982897,0.068135686,0.09125345,0.19094442,0.05974652
ZJ016612,0.07479091,0.021056144,0.20054702,0.27842298,0.051540826,0.06641425,0.010199137,0.29702872
ZJ016613,0.00068914535,0.001242203,0.012314348,0.001401105,0.008830243,0.974133,0.000853651,0.00053634087
ZJ016614,0.32024407,0.03522016,0.17889802,0.09257719,0.24825458,0.043087352,0.02688373,0.05483483
ZJ016615,0.19934584,0.29410878,0.1773001,0.0025266972,0.009631337,0.0038809846,0.22743413,0.08577212
ZJ016616,0.19402133,0.14564165,0.2504765,0.005882934,0.03270168,0.04462331,0.29679224,0.029860271
ZJ016617,0.15769906,0.17770068,0.17461792,0.004584596,0.013151275,0.01564876,0.4005328,0.05606489
ZJ016618,0.3973198,0.22506982,0.04092839,0.0019319752,0.015641544,0.002056771,0.29195628,0.025095433
ZJ016619,0.23838887,0.029986471,0.2925331,0.097108886,0.1438313,0.12926918,0.034920093,0.03396207
ZJ016620,0.2803627,0.045027077,0.18953268,0.08550097,0.19598866,0.08978682,0.054199222,0.059601832
ZJ016621,0.31444278,0.033674292,0.29286623,0.09034493,0.12840503,0.058513295,0.038841203,0.042912178
ZJ016622,0.34417292,0.09776607,0.24811389,0.0040477496,0.05780088,0.018577624,0.19719116,0.03232971
ZJ016623,0.20564853,0.02373438,0.30582383,0.12331241,0.0795252,0.03679013,0.02611123,0.1990543
ZJ016624,0.26941746,0.13048804,0.22325377,0.006150467,0.030039886,0.015759548,0.23388645,0.09100434
ZJ016625,0.19742371,0.024063425,0.24553238,0.20365669,0.073670916,0.053141125,0.021664087,0.1808476
ZJ016626,0.27304724,0.05558571,0.11769986,0.0710472,0.32194367,0.039700624,0.04483415,0.076141536
ZJ016627,0.077085614,0.1663619,0.061877195,0.0017489227,0.018093666,0.008032966,0.65736306,0.009436607
ZJ016628,0.5470223,0.040976718,0.1125834,0.021311339,0.1597352,0.025061602,0.07247655,0.020832835
ZJ016629,0.19912483,0.0375333,0.2445911,0.06683019,0.2254317,0.14309089,0.044501785,0.03889619
ZJ016630,0.5122727,0.060032234,0.1275738,0.002024157,0.01762399,0.0024038882,0.25601274,0.022056425
ZJ016631,0.16025136,0.022067431,0.11361483,0.06692415,0.02431246,0.004280378,0.012723869,0.5958255
ZJ016632,0.23395772,0.028880872,0.22179356,0.25257206,0.10016721,0.084287524,0.023329414,0.0550116
ZJ016633,0.17467529,0.058306627,0.45676708,0.006222387,0.017915258,0.031614494,0.20996977,0.044529032
ZJ016634,0.35407484,0.07075123,0.27387178,0.016393533,0.100251935,0.04429199,0.04116566,0.09919903
ZJ016635,0.24646841,0.10015219,0.16971989,0.0015478763,0.012301354,0.0069814706,0.42780647,0.03502237
ZJ016636,0.2191259,0.027133154,0.27845943,0.14418724,0.07126524,0.048142746,0.034821905,0.17686445
ZJ016637,0.17480345,0.12032333,0.26295677,0.014259307,0.08379596,0.12294417,0.15368119,0.06723574
ZJ016638,0.42688718,0.21656847,0.03618619,0.0012907526,0.014207699,0.0014456054,0.28620607,0.01720808
ZJ016639,0.02901414,0.00084632257,0.03080709,0.894968,0.00687198,0.004205914,0.0007487345,0.03253791
ZJ016640,0.389086,0.055213474,0.21619835,0.011451239,0.014357964,0.0039317263,0.07119712,0.23856415
ZJ016641,0.32247588,0.03335922,0.28702825,0.11256407,0.097280726,0.066977635,0.05107638,0.029237881
ZJ016642,0.2675006,0.035545174,0.21619438,0.10193494,0.1974334,0.11168728,0.04216491,0.027539337
ZJ016643,0.41887364,0.16463028,0.11880517,0.009557169,0.029364167,0.008020229,0.17511694,0.07563246
ZJ016644,0.42405987,0.19860391,0.11779282,0.0050821663,0.023744985,0.0036126266,0.1293028,0.09780092
ZJ016645,0.40339103,0.24266437,0.03956716,0.0013559851,0.06844882,0.0064792116,0.2218976,0.016195763
ZJ016646,0.50719637,0.15988167,0.055943407,0.009223607,0.050291155,0.0030683465,0.19278465,0.021610864
ZJ016647,0.07175827,0.0035584697,0.099274874,0.6804967,0.00905907,0.0067326813,0.0030707435,0.12604919
ZJ016648,0.1526006,0.1745717,0.27677998,0.0033691472,0.010610156,0.019267008,0.31976083,0.04304059
ZJ016649,0.06904389,0.012502861,0.20178492,0.21900892,0.05102261,0.08712169,0.0071524642,0.35236257
ZJ016650,0.33029255,0.060619853,0.25257817,0.050661366,0.05688101,0.024573961,0.05573074,0.16866231
ZJ016651,0.28894952,0.17576341,0.19126439,0.017521488,0.023260951,0.014696229,0.20161892,0.086925074
ZJ016652,0.091994,0.048055645,0.38204145,0.0075657335,0.046628788,0.29018632,0.11453526,0.018992772
ZJ016653,0.2907149,0.12097581,0.15138437,0.015032712,0.14976175,0.046404168,0.1574065,0.06831994
ZJ016654,0.18804279,0.1297547,0.23700067,0.017436301,0.05208311,0.04381627,0.25198206,0.07988406
ZJ016655,0.24849223,0.23817421,0.10421393,0.0027317088,0.019687971,0.0055754897,0.32231292,0.05881158
ZJ016656,0.37987784,0.21122378,0.10031343,0.011536336,0.034932014,0.00711808,0.13177541,0.1232232
ZJ016657,0.23773688,0.22692896,0.16630496,0.0066153873,0.011692972,0.002842669,0.23816805,0.10971015
ZJ016658,0.2383904,0.042445548,0.36214605,0.1279061,0.054921642,0.039078217,0.057660565,0.07745143
ZJ016659,0.075362116,0.028828349,0.46378413,0.009027333,0.12594016,0.19982553,0.050712317,0.046520118
ZJ016660,0.17614633,0.10731129,0.31852946,0.00809051,0.030176334,0.024143517,0.25979748,0.075805046
ZJ016661,0.17184943,0.048057824,0.33940035,0.08309513,0.049691822,0.065819785,0.030067855,0.21201786
ZJ016662,0.08163062,0.15256196,0.23292102,0.006138954,0.05374647,0.31708202,0.09252617,0.0633928
ZJ016663,0.0012287457,0.0025070796,0.017013602,0.0020355985,0.016420683,0.9565827,0.0024728724,0.0017387262
ZJ016664,0.23784703,0.017500984,0.24378517,0.07908413,0.2040224,0.054961696,0.015797965,0.14700058
ZJ016665,0.21040447,0.08825286,0.27034786,0.0066223606,0.035793968,0.02964326,0.2941442,0.06479108
ZJ016666,0.3223439,0.15627182,0.061311632,0.0011833415,0.028956592,0.0047340775,0.40776396,0.017434759
ZJ016667,0.37060267,0.20593293,0.0703891,0.0013398691,0.014167101,0.0025018493,0.30856642,0.026500028
ZJ016668,0.25126117,0.13710676,0.25859398,0.0153006045,0.075130954,0.07663043,0.12074572,0.06523037
ZJ016669,0.12842494,0.044714674,0.50796604,0.003818291,0.013651532,0.0342526,0.24357751,0.023594437
ZJ016670,0.1887176,0.011282768,0.26131892,0.16536392,0.044430852,0.017345162,0.0132926535,0.2982481
ZJ016671,0.17659934,0.020075042,0.30691034,0.09049641,0.07113509,0.034740295,0.018715143,0.28132835
ZJ016672,0.18720517,0.033710677,0.10070481,0.013696741,0.47326842,0.119560614,0.033726756,0.038126856
ZJ016673,0.16778143,0.1725106,0.24623057,0.00481469,0.098331645,0.044247195,0.15845938,0.10762453
ZJ016674,0.31886157,0.088954255,0.18041556,0.01077329,0.043186896,0.016590223,0.30946445,0.031753726
ZJ016675,0.19587646,0.11637777,0.21086197,0.0045241513,0.026408806,0.017785225,0.38980603,0.03835957
ZJ016676,0.14873311,0.060534608,0.40222183,0.003333919,0.017740656,0.049309786,0.29814374,0.019982409
ZJ016677,0.3629886,0.048619702,0.1782916,0.04565975,0.23393525,0.038064092,0.046897113,0.04554395
ZJ016678,0.12905917,0.14929314,0.07121331,0.0027764759,0.03217252,0.009513579,0.592655,0.013316857
ZJ016679,0.2945215,0.1522588,0.17066532,0.009116866,0.11473865,0.044660527,0.15274252,0.0612959
ZJ016680,0.34824225,0.1280794,0.05787133,0.0009652129,0.008585201,0.0020546403,0.44133013,0.012871872
ZJ016681,0.14295714,0.061071407,0.45505965,0.0077887615,0.03884327,0.06094325,0.17096263,0.062373824
ZJ016682,0.18371318,0.2218045,0.13772298,0.002159337,0.014342405,0.007860717,0.4107918,0.021605019
ZJ016683,0.28778842,0.09706937,0.2654893,0.016992379,0.05212123,0.03618868,0.17133127,0.07301936
ZJ016684,0.36101565,0.05072644,0.19625351,0.0870689,0.17954366,0.039417066,0.05066029,0.035314526
ZJ016685,0.24550606,0.09826556,0.07838676,0.0007558558,0.016733088,0.003883404,0.5464265,0.0100427605
ZJ016686,0.24542764,0.15500085,0.16616331,0.003094854,0.06280877,0.026148187,0.31064975,0.030706584
ZJ016687,0.27241063,0.034751683,0.400539,0.032106806,0.073508084,0.09166527,0.041524407,0.05349407
ZJ016688,0.43668354,0.08942725,0.14591588,0.0021258795,0.07238364,0.01498783,0.20476937,0.03370661
ZJ016689,0.4126823,0.046465073,0.19943668,0.025999913,0.018751113,0.0071319244,0.16446416,0.12506875
ZJ016690,0.098754674,0.015747262,0.23759648,0.23089771,0.08313774,0.10897715,0.010361883,0.21452715
ZJ016691,0.27361652,0.13504486,0.05760297,0.0008176353,0.04370765,0.0062343786,0.47715837,0.0058176788
ZJ016692,0.050766554,0.0351779,0.6428328,0.0038423021,0.048188996,0.14540967,0.041016825,0.032764833
ZJ016693,0.040854566,0.038149513,0.3024979,0.006808872,0.03424155,0.4826066,0.06353272,0.03130832
ZJ016694,0.35969058,0.11970914,0.05994628,0.000973145,0.008319053,0.001814846,0.43593708,0.013609928
ZJ016695,0.46288365,0.12510315,0.10964147,0.011566276,0.07963829,0.011744699,0.16454405,0.034878425
ZJ016696,0.14813776,0.11658241,0.3731395,0.004435982,0.024127316,0.033044007,0.2504842,0.050048906
ZJ016697,0.36565933,0.18049134,0.13527837,0.0072543337,0.0251703,0.00922835,0.21756518,0.05935276
ZJ016698,0.22846474,0.04857235,0.29975277,0.008007254,0.2405436,0.065216236,0.07209963,0.037343338
ZJ016699,0.5868665,0.11209926,0.06783239,0.002786596,0.08920004,0.0060817744,0.10539144,0.02974201
ZJ016700,0.0011069442,0.0018918186,0.015612031,0.0021181898,0.018338557,0.958361,0.0010488896,0.0015225492
ZJ016701,0.22843093,0.36782834,0.09098306,0.0034822063,0.017806364,0.005362963,0.22402143,0.062084682
ZJ016702,0.09654933,0.049565405,0.11861292,0.0009353625,0.005521687,0.004211045,0.7166283,0.007975924
ZJ016703,0.11158702,0.28349555,0.23311485,0.0111565525,0.042784367,0.13527526,0.13054973,0.05203668
ZJ016704,0.054496787,0.10025925,0.20907862,0.0072493576,0.054570574,0.44966662,0.06270383,0.061974954
ZJ016705,0.3102062,0.1932268,0.0750703,0.0017663258,0.016481576,0.00396334,0.37818566,0.021099774
ZJ016706,0.091467425,0.043810792,0.1813839,0.018410794,0.28596452,0.29847127,0.037684057,0.042807207
ZJ016707,0.2114733,0.133817,0.23864079,0.0029168641,0.010623133,0.008526249,0.3212479,0.07275474
ZJ016708,0.20396492,0.026620738,0.29422444,0.15645276,0.08169988,0.059576314,0.036871385,0.1405895
ZJ016709,0.3683798,0.10730723,0.20763588,0.004259081,0.010960838,0.0038513879,0.24106976,0.05653599
ZJ016710,0.31364512,0.1056338,0.21264176,0.029017018,0.030877734,0.017257825,0.13973156,0.15119517
ZJ016711,0.19662526,0.16360818,0.23629124,0.0010950842,0.011512724,0.008328116,0.3473357,0.03520373
ZJ016712,0.40492904,0.09891008,0.22526053,0.006425013,0.018282197,0.005143808,0.1477289,0.09332046
ZJ016713,0.11190927,0.13768578,0.37064913,0.003927126,0.038807463,0.03748413,0.24783283,0.051704317
ZJ016714,0.038853433,0.011199225,0.27215007,0.16592619,0.07129743,0.37896827,0.009716257,0.05188921
ZJ016715,0.34516495,0.051750716,0.20084377,0.027110578,0.12697162,0.03869691,0.034949187,0.17451225
ZJ016716,0.09425813,0.041200016,0.43455967,0.009553639,0.04192889,0.22612835,0.13014427,0.022226984
ZJ016717,0.31963283,0.07776497,0.26528746,0.012458473,0.024915254,0.02050601,0.2194592,0.059975844
ZJ016718,0.029855581,0.037109457,0.24952081,0.00846909,0.052018907,0.55781907,0.034413897,0.03079318
ZJ016719,0.29343763,0.2022055,0.16967054,0.0037985747,0.031257108,0.012347942,0.22283591,0.064446874
ZJ016720,0.3731524,0.16607751,0.066067964,0.001363055,0.014383933,0.002543641,0.35739326,0.019018244
ZJ016721,0.011419101,0.011253257,0.102160186,0.0043270173,0.026981244,0.8143146,0.018708223,0.010836363
ZJ016722,0.014375894,0.029264107,0.07283717,0.0140230935,0.0976648,0.74547917,0.011433443,0.014922416
ZJ016723,0.23258376,0.02898617,0.20930606,0.13516441,0.16849566,0.1354085,0.040345617,0.049709816
ZJ016724,0.16088386,0.109211974,0.25911322,0.0029874854,0.015894448,0.015136533,0.3991058,0.03766679
ZJ016725,0.057296384,0.09806438,0.1734955,0.0111186635,0.08302474,0.4646449,0.053228963,0.05912654
ZJ016726,0.18016855,0.07900758,0.25360367,0.0019418771,0.021050025,0.016932791,0.4138371,0.033458382
ZJ016727,0.05092644,0.022435473,0.22843194,0.006367189,0.12881668,0.507056,0.03787914,0.018087199
ZJ016728,0.22446358,0.031025225,0.3027071,0.14789443,0.11356332,0.09692956,0.033529773,0.049887024
ZJ016729,0.16478673,0.07506858,0.32703072,0.0026957558,0.016842877,0.021420898,0.35379633,0.038358126
ZJ016730,0.14407772,0.008880446,0.16708663,0.28039512,0.13543975,0.037604246,0.0046406067,0.22187546
ZJ016731,0.45010749,0.06840474,0.15503073,0.024745272,0.17567326,0.025610996,0.069138505,0.03128905
ZJ016732,0.24581659,0.2322826,0.14793728,0.006011522,0.06919308,0.024840105,0.23710203,0.03681682
ZJ016733,0.39135128,0.20605153,0.107669294,0.0034553034,0.033045705,0.0068255668,0.21845654,0.033144746
ZJ016734,0.35683468,0.20431356,0.060453486,0.000983001,0.0114952335,0.0020453571,0.3441084,0.019766305
ZJ016735,0.25416848,0.15311567,0.033787154,0.00056183693,0.034304094,0.0023179478,0.51682025,0.0049244342
ZJ016736,0.22940522,0.25707072,0.14142694,0.0042919824,0.021117896,0.012970071,0.26314545,0.070571765
ZJ016737,0.3538692,0.1510901,0.06502017,0.0008724334,0.012372539,0.0024081287,0.39592052,0.018446919
